================ Training Loss (Fri Jun  5 17:44:54 2020) ================
(epoch: 44, iters: 160, time: 0.740, data: 0.001) D_A: 0.455 G_A: 0.080 cycle_A: 1.823 idt_A: 0.762 D_B: 0.477 G_B: 0.507 cycle_B: 1.988 idt_B: 0.590 
(epoch: 45, iters: 80, time: 1.188, data: 0.001) D_A: 0.184 G_A: 0.578 cycle_A: 0.595 idt_A: 0.687 D_B: 0.092 G_B: 0.436 cycle_B: 1.149 idt_B: 0.235 
(epoch: 45, iters: 180, time: 0.735, data: 0.001) D_A: 0.249 G_A: 0.347 cycle_A: 1.403 idt_A: 0.718 D_B: 0.171 G_B: 0.520 cycle_B: 1.680 idt_B: 0.581 
(epoch: 46, iters: 100, time: 0.735, data: 0.098) D_A: 0.093 G_A: 0.624 cycle_A: 1.470 idt_A: 0.438 D_B: 0.313 G_B: 0.258 cycle_B: 0.973 idt_B: 0.756 
(epoch: 47, iters: 20, time: 0.735, data: 0.001) D_A: 0.183 G_A: 0.212 cycle_A: 0.900 idt_A: 0.580 D_B: 0.229 G_B: 0.378 cycle_B: 1.824 idt_B: 0.615 
(epoch: 47, iters: 120, time: 1.197, data: 0.001) D_A: 0.123 G_A: 0.497 cycle_A: 1.468 idt_A: 0.519 D_B: 0.245 G_B: 0.462 cycle_B: 1.185 idt_B: 0.631 
(epoch: 48, iters: 40, time: 0.736, data: 0.001) D_A: 0.289 G_A: 0.405 cycle_A: 0.793 idt_A: 0.793 D_B: 0.348 G_B: 0.211 cycle_B: 2.818 idt_B: 0.358 
(epoch: 48, iters: 140, time: 0.736, data: 0.002) D_A: 0.110 G_A: 0.372 cycle_A: 1.245 idt_A: 0.582 D_B: 0.151 G_B: 0.458 cycle_B: 1.297 idt_B: 0.530 
(epoch: 49, iters: 60, time: 0.738, data: 0.002) D_A: 0.241 G_A: 0.164 cycle_A: 1.042 idt_A: 1.698 D_B: 0.217 G_B: 0.624 cycle_B: 3.915 idt_B: 0.471 
(epoch: 49, iters: 160, time: 1.253, data: 0.001) D_A: 0.065 G_A: 0.594 cycle_A: 3.618 idt_A: 0.704 D_B: 0.047 G_B: 0.391 cycle_B: 1.462 idt_B: 1.682 
(epoch: 50, iters: 80, time: 0.735, data: 0.002) D_A: 0.186 G_A: 0.186 cycle_A: 0.736 idt_A: 0.501 D_B: 0.247 G_B: 0.275 cycle_B: 0.867 idt_B: 0.316 
(epoch: 50, iters: 180, time: 0.736, data: 0.001) D_A: 0.498 G_A: 0.024 cycle_A: 0.906 idt_A: 0.599 D_B: 0.291 G_B: 0.220 cycle_B: 1.286 idt_B: 0.507 
(epoch: 51, iters: 100, time: 0.737, data: 0.117) D_A: 0.132 G_A: 0.518 cycle_A: 1.198 idt_A: 0.679 D_B: 0.225 G_B: 0.332 cycle_B: 1.460 idt_B: 0.924 
(epoch: 52, iters: 20, time: 1.233, data: 0.001) D_A: 0.282 G_A: 0.222 cycle_A: 2.266 idt_A: 0.786 D_B: 0.270 G_B: 0.482 cycle_B: 2.540 idt_B: 0.445 
(epoch: 52, iters: 120, time: 0.738, data: 0.002) D_A: 0.170 G_A: 0.455 cycle_A: 1.695 idt_A: 0.849 D_B: 0.307 G_B: 0.476 cycle_B: 2.358 idt_B: 0.471 
(epoch: 53, iters: 40, time: 0.737, data: 0.001) D_A: 0.180 G_A: 0.258 cycle_A: 1.278 idt_A: 0.401 D_B: 0.280 G_B: 0.154 cycle_B: 1.168 idt_B: 0.639 
(epoch: 53, iters: 140, time: 0.738, data: 0.001) D_A: 0.093 G_A: 0.482 cycle_A: 1.685 idt_A: 1.079 D_B: 0.343 G_B: 0.720 cycle_B: 1.948 idt_B: 0.689 
(epoch: 54, iters: 60, time: 1.247, data: 0.001) D_A: 0.166 G_A: 0.356 cycle_A: 1.388 idt_A: 0.481 D_B: 0.152 G_B: 0.252 cycle_B: 1.068 idt_B: 0.379 
